index,label,usedCoreNum,stepM,stepN,traverse,fixSplit,setHF32,bufferSpace,build_ok,correct,task_duration_us,status
1,c2_sM1_sN1_FIRSTM_fs=auto_hf32=T_buf=auto,2,1,1,FIRSTM,auto,True,auto,True,True,134.21,ok
2,c2_sM1_sN1_FIRSTM_fs=256x128_hf32=T_buf=auto,2,1,1,FIRSTM,256x128,True,auto,True,True,149.93,ok
3,c2_sM1_sN1_FIRSTM_fs=128x128_hf32=T_buf=auto,2,1,1,FIRSTM,128x128,True,auto,True,True,158.09,ok
4,c2_sM1_sN1_FIRSTM_fs=64x128_hf32=T_buf=auto,2,1,1,FIRSTM,64x128,True,auto,True,True,219.85,ok
5,c2_sM1_sN1_FIRSTM_fs=128x160_hf32=T_buf=auto,2,1,1,FIRSTM,128x160,True,auto,True,True,205.03,ok
6,c2_sM1_sN1_FIRSTM_fs=256x64_hf32=T_buf=auto,2,1,1,FIRSTM,256x64,True,auto,True,True,223.51,ok
7,c2_sM1_sN1_FIRSTN_fs=auto_hf32=T_buf=auto,2,1,1,FIRSTN,auto,True,auto,True,True,134.95,ok
8,c2_sM1_sN1_FIRSTN_fs=256x128_hf32=T_buf=auto,2,1,1,FIRSTN,256x128,True,auto,True,True,124.68,ok
9,c2_sM1_sN1_FIRSTN_fs=128x128_hf32=T_buf=auto,2,1,1,FIRSTN,128x128,True,auto,True,True,168.67,ok
10,c2_sM1_sN1_FIRSTN_fs=64x128_hf32=T_buf=auto,2,1,1,FIRSTN,64x128,True,auto,True,True,259.69,ok
11,c2_sM1_sN1_FIRSTN_fs=128x160_hf32=T_buf=auto,2,1,1,FIRSTN,128x160,True,auto,True,True,220.95,ok
12,c2_sM1_sN1_FIRSTN_fs=256x64_hf32=T_buf=auto,2,1,1,FIRSTN,256x64,True,auto,True,True,168.19,ok
13,c2_sM1_sN2_FIRSTM_fs=auto_hf32=T_buf=auto,2,1,2,FIRSTM,auto,True,auto,True,True,134.41,ok
14,c2_sM1_sN2_FIRSTM_fs=256x128_hf32=T_buf=auto,2,1,2,FIRSTM,256x128,True,auto,True,True,136.89,ok
15,c2_sM1_sN2_FIRSTM_fs=128x128_hf32=T_buf=auto,2,1,2,FIRSTM,128x128,True,auto,True,True,153.97,ok
16,c2_sM1_sN2_FIRSTM_fs=64x128_hf32=T_buf=auto,2,1,2,FIRSTM,64x128,True,auto,True,True,212.49,ok
17,c2_sM1_sN2_FIRSTM_fs=128x160_hf32=T_buf=auto,2,1,2,FIRSTM,128x160,True,auto,True,True,214.19,ok
18,c2_sM1_sN2_FIRSTM_fs=256x64_hf32=T_buf=auto,2,1,2,FIRSTM,256x64,True,auto,True,True,194.55,ok
19,c2_sM1_sN2_FIRSTN_fs=auto_hf32=T_buf=auto,2,1,2,FIRSTN,auto,True,auto,True,True,132.39,ok
20,c2_sM1_sN2_FIRSTN_fs=256x128_hf32=T_buf=auto,2,1,2,FIRSTN,256x128,True,auto,True,True,122.90,ok
21,c2_sM1_sN2_FIRSTN_fs=128x128_hf32=T_buf=auto,2,1,2,FIRSTN,128x128,True,auto,True,True,165.19,ok
22,c2_sM1_sN2_FIRSTN_fs=64x128_hf32=T_buf=auto,2,1,2,FIRSTN,64x128,True,auto,True,True,257.43,ok
23,c2_sM1_sN2_FIRSTN_fs=128x160_hf32=T_buf=auto,2,1,2,FIRSTN,128x160,True,auto,True,True,222.21,ok
24,c2_sM1_sN2_FIRSTN_fs=256x64_hf32=T_buf=auto,2,1,2,FIRSTN,256x64,True,auto,True,True,171.85,ok
25,c2_sM2_sN1_FIRSTM_fs=auto_hf32=T_buf=auto,2,2,1,FIRSTM,auto,True,auto,True,True,133.05,ok
26,c2_sM2_sN1_FIRSTM_fs=256x128_hf32=T_buf=auto,2,2,1,FIRSTM,256x128,True,auto,True,True,151.91,ok
27,c2_sM2_sN1_FIRSTM_fs=128x128_hf32=T_buf=auto,2,2,1,FIRSTM,128x128,True,auto,True,True,159.09,ok
28,c2_sM2_sN1_FIRSTM_fs=64x128_hf32=T_buf=auto,2,2,1,FIRSTM,64x128,True,auto,True,True,218.87,ok
29,c2_sM2_sN1_FIRSTM_fs=128x160_hf32=T_buf=auto,2,2,1,FIRSTM,128x160,True,auto,True,True,205.21,ok
30,c2_sM2_sN1_FIRSTM_fs=256x64_hf32=T_buf=auto,2,2,1,FIRSTM,256x64,True,auto,True,True,221.93,ok
31,c2_sM2_sN1_FIRSTN_fs=auto_hf32=T_buf=auto,2,2,1,FIRSTN,auto,True,auto,True,True,126.63,ok
32,c2_sM2_sN1_FIRSTN_fs=256x128_hf32=T_buf=auto,2,2,1,FIRSTN,256x128,True,auto,True,True,122.74,ok
33,c2_sM2_sN1_FIRSTN_fs=128x128_hf32=T_buf=auto,2,2,1,FIRSTN,128x128,True,auto,True,True,155.47,ok
34,c2_sM2_sN1_FIRSTN_fs=64x128_hf32=T_buf=auto,2,2,1,FIRSTN,64x128,True,auto,True,True,230.31,ok
