cores,baseM,baseN,duration_us,correct,speedup
2,256,128,100.564026,False,1.0
4,256,128,45.041801,False,2.232682170057987
4,128,128,41.441658,False,2.4266409900878
5,128,128,42.341694,False,2.375059108405063
8,128,128,30.481218,False,3.299212846415783
8,128,64,37.781509,False,2.6617260311122037
10,128,128,29.901196,False,3.363210822737659
10,128,64,35.161407,False,2.8600683129659745
16,64,64,33.28133,False,3.021634832502187
20,64,64,36.061443,False,2.788685577557171
20,128,64,33.841354,False,2.971631276928222
4,256,64,64.602585,False,1.5566563783786669
2,128,128,92.823715,False,1.0833872141402656
2,128,64,142.625702,False,0.7050904892303352
4,128,64,60.0224,False,1.675441601801994
5,128,64,65.422615,False,1.5371447014155581
